hscode,hsdesc,export_usd_mn,import_usd_mn,net_usd_mn,share_of_total_deficit_pct
0713,DRID LEGUMINOUS VEG SHLD W/N SKINNED/SPLIT,969.58,3631.47,-2661.89,0.466
7402,UNREFINED COPPER; COPPER ANODES FOR       ELECTROLYTIC REFINING,30.13,2600.66,-2570.53,0.450
3904,"POLYMERS OF VINYL CHLORIDE OR OF OTHER    HALOGENATED OLEFINS, IN PRIMARY FORMS",278.97,2686.12,-2407.15,0.422
2905,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED,   SULPHONATED, NITRATED OR NITROSATED       DERIVATIVES",515.11,2752.26,-2237.15,0.392
8536,ELCTRCLS APPRTS FR SWTCHNG/PRTCTNG ELCTRCLCIRCUITS ETC.(E.G.SWTCHS RELAYS ETC.)     FOR A VOLTAGE NOT EXCDG 1000 VOLTS,1517.26,3586.33,-2069.08,0.363
0802,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED",29.58,2090.70,-2061.12,0.361
3907,"POLYACETALS, OTHER POLYETHERS AND EPOXIDE RESINS,",736.05,2732.95,-1996.89,0.350
7225,FLT,60.21,2054.46,-1994.25,0.349
9027,"INSTRUMENTS AND APPARATUS FOR PHYSICAL OR CHEMICAL ANALYSIS (FOR EXAMPLE,           POLARIMETERS, REFRACTOMETERS, SPECTR",208.59,2193.56,-1984.97,0.348
2510,"NATRL CALCIUM PHOSPHATES,NATRL ALMNM      CALCIUM PHOSPHATES AND PHOSPHATIC CHALK",0.13,1857.04,-1856.91,0.325
8525,"TRNSMISN APARATS FR RADIO,TELEPHNY ETC    W/N INCRPRTNG RECEPTION APPRTS/SOUND      RECORDING/REPRDCNG APPRTS;TV CAMERAS",214.34,2070.14,-1855.80,0.325
0801,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,    FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED",505.29,2357.45,-1852.16,0.325
3902,"POLYMERS OF PROPYLENE OR OF OTHER OLEFINS, IN PRIMARY FORMS",303.29,2142.57,-1839.28,0.322
7403,"REFINED COPPER AND COPPER ALLOYS,         UNWROUGHT",1019.98,2768.10,-1748.11,0.306
9031,"MEASURING OR CHECKING INSTRUMENTS,        APPLIANCES AND MACHINES, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS",379.86,2120.06,-1740.20,0.305
8414,"AIR/VACUUM PUMPS,AIR/OTHR GAS COMPRSRS AND  FANS;VNTLTNG/RCYCLNG HOODS INCRPRTNG A    FAN,W/N FITTED WITH FILTERS",1480.97,3221.04,-1740.07,0.305
2917,"PLYCRBOXYLC ACDS,THR ANHYDRDS,HALIDES,    PEROXIDES ANDPEROXYACDS,OTHR HALGNTD SLPHNTDNITRATED OR NITROSATED DERIVATIVES",308.95,1993.25,-1684.30,0.295
8443,"PRINTNG MACHNRY,INCL INK",257.12,1938.18,-1681.06,0.295
9018,"INSTRMNTS AND APPLNCS USED IN MDCL,SURGCL,  DNTL/VTRNRY SCNCS,INCL SCNTGRPHC APPRTS   ELCTRO",1500.84,3097.10,-1596.26,0.280
8518,"MCROPHONESANDSTNDS THRFR;LOUDSPKR,W/N MNTD  HEADPHONE,EARPHONE AND COMBND MCROPHONE/SPKRSETS;AUDIO FRQNCY AMPLFYR;SND AM",269.78,1865.60,-1595.82,0.280
8477,"MCHNR FR WRKNG RUBBR/PLSTCS/FR THE MNFCTR OF PRDCTS FROM THESE MTRLS,N.E.S.",396.57,1961.37,-1564.79,0.274
8534,PRINTED CIRCUITS,175.39,1677.04,-1501.65,0.263
8523,"PREPRD UNRECORDED MEDIA FOR SOUND         RECRDNG/SMLR RECRDNG OF OTHR              PHENOMENA,OTHR THN PRDCTS OF CH.37",196.93,1686.44,-1489.50,0.261
7007,SAFTY GLSS CONSTNG OF TOUGHND/LMNTD GLSS,62.70,1504.02,-1441.32,0.253
5201,"COTTON, NOT CARDED OR COMBED",436.37,1856.75,-1420.37,0.249
4707,RECOVERED (WASTE AND SCRAP) PAPER OR      PAPERBOARD,0.05,1389.22,-1389.17,0.243
2902,CYCLIC HYDROCARBONS,1449.76,2819.81,-1370.05,0.240
7218,STAINLESS STEEL IN INGOTS OR OTHER PRIMARY FORMS; SEMI,38.51,1399.04,-1360.52,0.238
7114,ARTCLS OF GOLDSMTHS/SLVRSMTHS WARES AND   PRTS OF PRCS MTL/MTL CLD WTH PRCS MTL,20.59,1365.53,-1344.95,0.236
3104,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC",3.36,1332.85,-1329.49,0.233
4002,"SYNTHETIC RUBBER AND FACTICE DERIVED FORM OILS, IN PRIMARY FORMS OR IN PLATES,      SHEETS OR STRIP; MIXTURES OF ANY PRO",144.55,1456.10,-1311.55,0.230
8529,PRTS SUITBL FR USE SOLELY/PRNCPLLY        WTH APPRTS OF HDGS NOS 8525 TO 8528,269.06,1576.28,-1307.23,0.229
8486,"MACHINES AND APPARATUS OF A KIND USED     SOLELY FOR THE MANUFACTURE OF             SEMICONDUCTOR BOULES OR WAFERS, DEVI",80.50,1386.25,-1305.75,0.229
2602,MN ORES AND CONCENTRATS INCLDNG FERRUGINS MN    ORS AND CONCNTRTS WTH MN CNTNT 20 PERCNTOR MORE CALCULTED ON THE DRY WEI,14.92,1224.07,-1209.15,0.212
8504,"ELECTRICAL TRANSFORMERS, STATIC CONVERTERS (FOR EXAMPLE, RECTIFIERS) AND INDUCTORS",3199.92,4405.25,-1205.33,0.211
2704,COKE AND SEMI,36.38,1160.14,-1123.76,0.197
8532,"ELCTRCL CAPACITORS FIXD,VARIABLE/         ADJUSTABLE(PRE",158.87,1281.04,-1122.17,0.197
2814,"AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION",7.31,1079.87,-1072.57,0.188
3824,"PRPD BNDRS FR FOUNDRY MOULDS/CORES,CHMCL  PRDCTS AND PRPNS,RESDUAL PRDCTS OF CHMCL    OR ALLIED INDUSTRIES N.E.S.",461.23,1527.79,-1066.56,0.187
9801,PROJECT GOODS,1.78,1060.24,-1058.45,0.185
8446,WEAVING MACHINES (LOOMS),40.60,1087.91,-1047.31,0.183
7219,FLT,460.08,1505.33,-1045.25,0.183
4403,"WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED",5.87,1013.03,-1007.15,0.176
7411,COPPER TUBES AND PIPES,135.67,1109.93,-974.27,0.171
8501,ELCTRC MOTRS AND GENRTRS(EXCL GENRTNG SETS),902.10,1875.02,-972.92,0.170
9022,OTHR APPLINCES OF 9021 BTA/GMAOR OTHR IONISING  RADITIONS INCL RADIOTHRPY APPRTS X,391.44,1356.35,-964.90,0.169
8462,MCHN,72.01,1029.97,-957.96,0.168
2941,ANTIBIOTICS,912.88,1866.32,-953.44,0.167
2707,OILS AND OTHER PRODUCTS OF THE            DISTILLATION OF HIGH TEMPERATURE COAL TAR SIMILAR PRODUCTS IN WHICH THE WEIGHT,318.13,1244.12,-925.99,0.162
8447,"KNTNG MCHNS,STCH",4.67,930.45,-925.79,0.162
8426,"DERRICKS;CRNS,INCL CABLE CRNS;MOBL LFTNG  FRMS,STRDL CRRS AND WRKS TRCKS FTD WTH A CRN",119.21,1043.75,-924.55,0.162
8480,"MOULDING BOXES FOR METAL FOUNDRY; MOULD   BASES; MOULDING PATTERNS; MOULDS FOR METAL (OTHER THAN INGOT MOULDS), METAL CA",240.32,1137.74,-897.42,0.157
8528,"RECEPTION APARATUS,WH/NOT INCORPRTNG RADIOBRODCST RECIVRS/SOUND/VIDEO RCORDNG/      REPRODUCING APARATUS,VIDEO MONITORS",203.04,1098.05,-895.01,0.157
4001,NATRL RUBR BALATA GUTTAPERCHA ETC AND SMLR  NATRL GUMS IN PRMRY FRMS/IN PLTS SHTS/STRP,5.85,893.19,-887.34,0.155
2901,ACYCLIC HYDROCARBONS,158.40,1039.97,-881.57,0.154
4703,"CHEMICAL WOOD PULP, SODA OR SULPHATE,     OTHER THAN DISSOLVING GRADES",0.04,862.70,-862.66,0.151
7408,COPPER WIRE,999.44,1834.76,-835.32,0.146
3822,"DIAG./LAB REAGNT ON A BCKNG,PRPRD DIAG./LAB REAGNTS WH/NOT ON BACKNG ,WHTR OR NT IN THE FORM OF  KIT EXCL HDNG 3006,",243.93,1055.52,-811.59,0.142
3920,"OTHER PLATES, SHEETS, FILM, FOIL AND      STRIP, OF PLASTICS, NON",1274.60,2078.66,-804.06,0.141
3206,OTHR COLOURNG MATTER INORGANIC PRDCT OF   KIND USED AS LUMINPHORS W/N DFND CHMCLLY,276.26,1078.78,-802.51,0.141
9030,"OSCLSCPS AND OTHR INSTRMNTS AND APRTS FR MSRNGCHKNG ELCTRCL QUNTTS,INSTRMNTS AND APRTS FR MSRNG/DTCTNG ALPHA,BTA,GMA,X",205.14,993.99,-788.85,0.138
8543,"ELCTRCL MCHNS AND APPRTS,HVNG INDIVIDUAL    FNCTNS N.E.S.IN THIS CHAPTER",278.14,1042.55,-764.41,0.134
4702,"CHEMICAL WOOD PULP, DISSOLVING GRADES",0.00,764.38,-764.38,0.134
8428,"OTHER LIFTING, HANDLING, LOADING OR       UNLOADING MACHINERY (FOR EXAMPLE, LIFTS,  ESCALATORS, CONVEYORS, TELEFERICS)",365.57,1123.68,-758.11,0.133
8482,BALL OR ROLLER BEARINGS,813.23,1568.72,-755.50,0.132
2915,"SATRTD ACYLC MONOCRBOXYLIC ACIDS AND THR    ANHYDRTDS,HALIDS,PEROXIDS AND PEROXY ACIDS; THR HALGNTD SLPHNTD NITRTD/NITRS",687.99,1439.03,-751.04,0.132
8455,METAL,202.57,940.58,-738.01,0.129
3815,"REACTION INITIATORS, REACTION ACCELERATORS AND CATAL PREPARATIONS, NOT ELSEWHERE    SPECIFIED OR INCLUDED",200.29,907.56,-707.27,0.124
7610,"ALMNM STRCTRS AND PRTS OF STRCTRS(BRDGS     TOWRS,ROOFS ETC.)ALMNM PLATES",103.05,788.84,-685.78,0.120
8421,"CENTRIFUGES, INCLUDING CENTRIFUGAL DRYERS; FILTERING OR PURIFYING MACHINERY AND     APPARATUS, FOR LIQUIDS OR GASES",1186.94,1872.45,-685.50,0.120
3909,AMINO,210.17,889.21,-679.04,0.119
3926,OTHER ARTICLES OF PLASTICS AND ARTICLES OF OTHER MATERIALS OF HEADINGS 3901 TO 3914,824.72,1491.74,-667.01,0.117
7606,"ALMNM PLTS,SHTS AND STRP OF THCKNS>0.2 MM",219.09,876.89,-657.80,0.115
4005,CMPNDED RUBR UNVULCNSD IN PRMRY           FORMS/IN PLATES SHEETS/STRIP,45.86,697.08,-651.22,0.114
3908,POLYAMIDES IN PRIMARY FORMS,64.28,699.35,-635.07,0.111
9032,AUTMTC REGLTNG/CONTRLNG INSTRMNTS AND APRTS,547.08,1180.32,-633.24,0.111
8422,"DISH WASHING MACHINES; MACHINERY FOR      CLEANING OR DRYING BOTTLES OR OTHER       CONTAINERS; MACHINERY FOR FILLING, C",293.91,917.15,-623.24,0.109
2521,"LIMESTONE FLUX; LIMESTONE AND OTHER       CALCAREOUS STONES, OF A KIND USED FOR THE MANUFACTURE OF LIME OR CEMENT",71.62,689.51,-617.89,0.108
2613,MOLYBDENUM ORES AND CONCENTRATES,20.12,634.92,-614.80,0.108
3919,SELF,186.32,800.84,-614.52,0.108
8466,"PRTS AND ACCSSRS SUITBL FR USE WTH MCHNS OF HDG NOS8456 TO 8465,INCL WRK/TOOL  HOLDRS,SLF",259.06,872.77,-613.71,0.108
7502,UNWROUGHT NICKEL,8.69,606.81,-598.12,0.105
3103,"MINERAL OR CHEMICAL FERTILISERS,          PHOSPHATIC",71.96,640.15,-568.19,0.100
3906,ACRYLIC POLYMERS IN PRIMARY FORMS,249.29,808.14,-558.85,0.098
9021,"ORTHPDC APLNCS,ARTFCL PRTS OF TH BODY;HRNGAIDS AND OTHR APLNCS WHCH ARE WRN/CRRD/     IMPLNTD IN THE BODY TO CMPNST DFCT",493.22,1050.85,-557.62,0.098
8908,VSSLS AND OTHR FLOATNG STRCTRS FR BREAKNG UP,0.00,556.75,-556.75,0.098
8549,ELCTRICAL AND ELECTRONIC WASTE AND SCRAP,9.57,553.19,-543.61,0.095
2606,ALUMINIUM ORES AND CONCENTRATES,13.57,545.51,-531.94,0.093
8457,"MACHINING CENTRES, UNIT CONSTRUCTION      MACHINES (SINGLE STATION) AND MULTI",93.80,618.38,-524.59,0.092
2916,"UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS, CYCLIC MONOCARBOXYLIC ACIDS, THEIR        ANHYDRIDES, HALIDES, PEROXIDES AND P",362.72,870.16,-507.44,0.089
4407,"WOOD SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, WHETHER OR NOT PLANED, SANDED OR ENDJOINTED, OF A THICKNESS EXCEEDING",11.15,516.23,-505.08,0.088
3823,INDSTRL MONOCARBOXYLC FATY ACIDS ACID OILSFROM REFINING INDUSTRIAL FATTY ALCOHOL,470.00,965.91,-495.92,0.087
4408,VENER SHET AND SHETS FOR PLWD (W/N SPLICD)AND OTHR WOOD SAWN IN LENTH SLICD/PEELD W/N PLANED OR FINGR JTD THIKNES <= 6MM,28.07,509.16,-481.08,0.084
8417,"INDUSTRIAL OR LABORATORY FURNACES AND     OVENS, INCLUDING INCINERATORS, NON",84.94,562.52,-477.58,0.084
8424,MCHNCL APPLNCS (W/N HND,173.11,640.13,-467.03,0.082
8431,PRTS SUITBL FR USE SOLELY/PRNCPLY WTH THE MCHNRY OF HDGS.NOS.8425 TO 8430,1507.50,1973.95,-466.45,0.082
0804,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS, MANGOES, AND MANGOSTEENS, FRESH OR DRIED",156.88,623.21,-466.33,0.082
9102,WRIST,24.68,489.54,-464.86,0.081
8001,UNWROUGHT TIN,25.03,489.77,-464.74,0.081
3817,MXD ALKYLBENZEBES AND MXD ALKYLNAPHTHALENES OTHR THAN THOSE OF HDG NO. 2707/2902,3.70,468.12,-464.42,0.081
8515,"ELCTR(INCL ELCTACLLY HTD GAS)LASER/OTHR   LIGHT/PHOTON BEAM ETC,BRZNG/SLDRNG MCHNS  ETC FR HOT SPRYNG OF MTLS/CERMETS",84.34,548.23,-463.89,0.081
2804,"HYDROGEN, RARE GASES AND OTHER NON",14.00,473.89,-459.89,0.081
3903,"POLYMERS OF STYRENE, IN PRIMARY FORMS",89.23,548.23,-459.00,0.080
2503,"SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND         COLLODIAL SULPHUR",329.36,776.36,-447.00,0.078
7607,ALMNM FOIL(W/N PRNTD/BCKD WTH PAPR        PAPRBOARD,342.88,786.19,-443.30,0.078
8533,ELCTRCL RESISTORS(INCL RHEOSTATS AND        POTENTIOMETERS)OTHR THN HTNG RESISTORS,60.02,495.21,-435.19,0.076
3912,"CELLULOSE AND ITS CHEMICAL DERIVATIVES,   NOT ELSEWHERE SPECIFIED OR INCLUDED, IN   PRIMARY FORMS",213.91,643.83,-429.92,0.075
2208,"UNDNATRD ETHYL ALCHL WTH<80% ALCHL        STRNGTH;SPRTS ,LIQRS AND OTHR SPRTOUS BVRGS;COMPND ALCHL PRPN FOR MNUFCTRE OF",261.49,690.79,-429.30,0.075
8433,"HRVSTNG/THRSHNG MCHNRY INCL STRAW/FODR    BLRS;GRASS MOWRS;MCHNS FR CLNG,SRTNG EGGS,FRUIT/OTHR SMLR PRDC EXCL MCHNRY OF",113.31,537.45,-424.14,0.074
7802,LEAD WASTE AND SCRAP,0.00,418.97,-418.97,0.073
5403,"ARTIFICIAL FILAMENT YARN(EXCL SEWING      THREAD),NOT PUT UP FOR RETAIL SALE,INCL   ARTIFICIAL MONOFILAMENT OF < 67 DECI",49.46,456.08,-406.62,0.071
8516,ELCTRC WTR AND IMRSN HTR ; ELCTRC SPACES AND  HTNG APRTS;ELCTRO THRMIC HAIR DRSSNG APRTSANDHND DRYRS;SMLR ELCTRC APLNCS,145.92,551.67,-405.75,0.071
8505,ELCTRO,61.25,464.49,-403.24,0.071
9026,"INSTRMNTS AND APRTS FR MSRNG/CHKNG THE FLOW,LEVL,PRSR/OTHR VARIABLES OF LIQUID/GASES  EXCL APPRTS OF HDG 9014,9015,9028/",362.34,763.51,-401.17,0.070
3403,LUBRCTNG PRPNS AND PRPNS FR THE TRTMNT OF   TXTL MATRLS LETHR FURSKNS/OTHR MATRLS NT  CNTNG 70% MORE BY WT PETROLM OIL E,67.22,467.38,-400.16,0.070
3818,CHMCL ELMNT DOPD FR ELCTRNCS IN DISC,0.76,392.50,-391.74,0.069
3905,"POLYMERS OF VINYL ACETATE OR OF OTHER     VINYL ESTERS, IN PRIMARY FORMS; OTHER     VINYL POLYMERS IN PRIMARY FORMS",55.45,444.07,-388.62,0.068
5402,"HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES, WHETHER OR NOT TEXTURED",634.37,1016.23,-381.87,0.067
8207,INTRCHANGBL TOOLS FOR HND TOOLS W/N POWR  OPERATD OR FOR MACHIN TOOL(E.G.FOR PRESNG STAMPING ETC.)DIES FR DRILNG/BORNG T,365.00,744.12,-379.12,0.066
6909,CERMC WARES FOR LABRTRY ETC;CERMC TROUGHS TUBS ETC;FOR USE IN AGRCLTR CERMC POTS    ETC;FOR CONVEYANCE/PCKNG OF GOODS,5.65,376.59,-370.94,0.065
7409,"COPPER PLATES, SHEETS AND STRIP, OF A     THICKNESS EXCEEDING 0.12.5 MM",136.46,501.88,-365.42,0.064
7103,PRCS(EXCL DIMONDS)AND SEMI PRCS SOTNS W/N   WRKD/GRD NT STRNG MNTD/SET UNGRD PRCS/SEMIPRCS STONES TMPRLY STRNG FR TRNSPR,458.74,822.36,-363.62,0.064
2926,NITRILE,110.94,471.90,-360.96,0.063
7304,"TUBES, PIPES AND HOLLOW PROFILES,         SEAMLESS, OF IRON (OTHER THAN CAST IRON)  OR STEEL",530.31,890.26,-359.95,0.063
4810,PAPR/PAPRBORD COATD ON ONE/BOTH SIDES     WITHKALN/OTHR INORG SUBSTS AND NO OTR COATNG W/NSURFCE COLRD/DECORTD/PRNTD IN,370.77,728.55,-357.78,0.063
8467,"TOOLS FOR WORKING IN THE HAND, PNEUMATIC, HYDRAULIC OR WITH SELF",244.82,599.60,-354.78,0.062
2207,"UNDENATURED ETHYL ALCOHOL OF AN ALCOHOLIC STRENGTH BY VOLUME OF 80% VOL. OR HIGHER; ETHYL ALCOHOL AND OTHER SPIRITS, DEN",54.36,407.20,-352.84,0.062
8448,"AUXLRY MCHNRY USD WTH MCHNS OF HDG 8444,  8445,8446/8447;PRTS AND ACCSSRS USD WTH     THIS HDG/OF HDG 8444,8445,8446/844",133.65,479.22,-345.57,0.061
8415,"AIRCONDTNG MCHNS,CMPRSNG MOTR",540.09,884.44,-344.35,0.060
8537,"BORDS PANLS ETC EQUIPD WTH TWO OR MORE    APPRTS OF HDG 8535/8536,INCL THOSE        INCORPRTNG INSTRMNTS/APPRTS OF CH 90",1124.24,1467.18,-342.93,0.060
7110,PLTNM UNWRGHT/SEMI MNFCTRD/PWDR FORMS,78.92,419.71,-340.78,0.060
2907,PHENOLS; PHENOL,282.46,620.67,-338.22,0.059
2801,"FLUORINE, CHLORINE, BROMINE AND IODINE",32.61,365.69,-333.08,0.058
8607,PRTS OF RLWAY/TRMWAY LCMTVS/ROLLNG,180.83,513.59,-332.76,0.058
0808,"APPLES, PEARS AND QUINCES, FRESH",16.06,348.07,-332.01,0.058
3910,SILICONES IN PRIMARY FORMS,66.59,395.88,-329.29,0.058
7616,OTHER ARTICLES OF ALUMINIUM,515.07,843.40,-328.33,0.058
9401,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF",345.37,672.30,-326.93,0.057
8905,LIGHT,1302.63,1618.57,-315.94,0.055
1805,"COCOA POWDER, NOT CONTAINING ADDED SUGAR  OR OTHER SWEETENING MATTER",4.82,317.24,-312.43,0.055
9019,MCHNO,28.16,340.55,-312.40,0.055
2903,HALOGENATED DERIVATIVES OF HYDROCARBONS,459.14,769.49,-310.35,0.054
4705,WOOD PULP OBTAINED BY A COMBINATION OF    MECHANICAL AND CHEMICAL PULPING PROCESSES,0.00,309.39,-309.39,0.054
2515,"MARBLE, TRAVERTINE, ECAUSSINE AND OTHER   CALCAREOUS MONUMENTAL OR BUILDING STONE OF AN APPARENT SPECIFIC GRAVITY OF 2.5",49.31,353.06,-303.75,0.053
2929,COMPOUNDS WITH OTHER NITROGEN FUNCTION,34.31,336.70,-302.39,0.053
4801,"NEWSPRINT, IN ROLLS OR SHEETS",4.25,305.71,-301.45,0.053
8454,"CNVRTRS,LADLS,INGOT MOULDS AND CASTNG MCHNS USD IN METALLURGY/IN METAL FOUNDRIES",48.07,349.04,-300.97,0.053
8452,"SEWNG MCHNS,EXCL BOOK",65.79,363.68,-297.89,0.052
8527,RECEPTION APPARATUS FOR RADIO,27.94,317.53,-289.59,0.051
7318,"SCRWES,BOLTS,NUTS,COACHSCREWS,SCREW HOOKS RIVETS,COTTERS,COTTER",864.35,1151.33,-286.97,0.050
3502,ALBUMINS ALBUMINTS AND OTHR ALBUMIN DRVTVS,22.94,307.96,-285.03,0.050
8418,"RFRGRTRS,FRZRS AND OTHR RFRGRTNG/FRZNG      EQPMNT,ELCTRC/OTHR;HT PUMPS EXCL AIR      CONDTNG MCHNS OF HDG NO.8415",356.94,641.80,-284.86,0.050
1804,"COCOA BUTTER, FAT AND OIL",122.62,404.04,-281.43,0.049
3506,PRPD GLUES AND OTHR PRPD ADHSVS NES/INCLDD  PRDCTS FOR USE AS GLUES/ADHSVS PUT UP FOR RETL SALE AS GLUES/ADHSVS NT EXCDN,125.38,403.27,-277.88,0.049
5903,"TXTL FBRCS IMPRGNTD,COATD,CVRD/LAMNTD     WTH PLASTICS EXCL THOSE OF HDG NO. 5902",243.56,521.28,-277.72,0.049
8441,"OTHER MACHINERY FOR MAKING UP PAPER PULP, PAPER OR PAPERBOARD, INCLUDING CUTTING    MACHINES OF ALL KINDS",67.35,336.03,-268.68,0.047
8456,MCHN,18.94,278.74,-259.80,0.046
8451,"0THER PARTS OF HOUSEHOLD LAUNDRY TYPE MCHNETCANDMCHNS FR APPLYNG PST TO BASE FBRC ETC;MCHNS FR RLNG,UNRLNG,FLDNG/CTTNG T",75.55,326.83,-251.28,0.044
6310,"USD/NEW RAGS,SCRP TWNE,CORDGE,ROPE AND      CBLS AND WORN OUT ARTCLS OF TWNE,CORDGE,    ROPE/CBLS,OF TEXTILE MATERIALS",20.95,271.33,-250.38,0.044
7902,ZINC WASTE AND SCRAP,2.08,251.84,-249.76,0.044
7019,"GLSS FBRS(INCL GLSS WOOL) AND ARTCL THEROF  (E.G. YARN,ROVINGS, WOVN FBRCS)",204.04,452.57,-248.53,0.044
6001,"PILE FABRICS INCLUDING LONG PILE FABRICS AND TERRY FABRICS,KNITTED/CR",14.17,258.39,-244.23,0.043
8458,LATHES (INCLUDING TURNING CENTRES) FOR    REMOVING METAL,48.67,292.78,-244.11,0.043
2836,CARBNTS;PEROXO CARBNTS (PERCARBNTS);CMMRCLAMMONIUM CARBONATE CONTNG AMMONIUM CARBMTS,126.89,370.00,-243.11,0.043
8460,"MACHTOOLS FOR DEBURNG,SHARPN,GRINDG, POLISHING OR OTH FNSH METAL,OR CERMETS BY MEANS OF GRINDING STONES",37.52,276.34,-238.82,0.042
